dl n=6 format = edgelist1
labels embedded
data:
		
339	213	10
339	333	153
339	335	124
339	3364OT	88
339	339	3282
339	487OS	45
487OS	213	100
487OS	333	41
487OS	335	13
487OS	3364OT	31
487OS	339	22
487OS	487OS	4578
3364OT	213	0
3364OT	333	NA
3364OT	335	42
3364OT	3364OT	20812
3364OT	339	10
3364OT	487OS	392
333	213	2458
333	333	7594
333	335	444
333	3364OT	1784
333	339	149
333	487OS	73
335	213	61
335	333	4461
335	335	3772
335	3364OT	719
335	339	200
335	487OS	23
213	213	NA
213	333	NA
213	335	NA
213	3364OT	NA
213	339	NA
213	487OS	NA
