dl n=6 format = edgelist1
labels embedded
data:
		
486	322	8
486	325	1120
486	333	4
486	3361MV	3
486	486	1158
486	521CI	2
3361MV	322	40
3361MV	325	37
3361MV	333	4354
3361MV	3361MV	77798
3361MV	486	299
3361MV	521CI	42
322	322	28403
322	325	5073
322	333	854
322	3361MV	614
322	486	11
322	521CI	653
325	322	9150
325	325	74898
325	333	847
325	3361MV	3875
325	486	47
325	521CI	42
333	322	637
333	325	2181
333	333	12039
333	3361MV	5572
333	486	374
333	521CI	261
521CI	322	1177
521CI	325	2901
521CI	333	1690
521CI	3361MV	2340
521CI	486	1044
521CI	521CI	18055
