dl n=7 format = edgelist1
labels embedded
data:
		
486	211	561
486	322	21
486	324	16030
486	325	266
486	3361MV	7
486	3364OT	5
486	486	332
3364OT	211	NA
3364OT	322	NA
3364OT	324	NA
3364OT	325	NA
3364OT	3361MV	37
3364OT	3364OT	11764
3364OT	486	NA
325	211	663
325	322	4769
325	324	2988
325	325	36098
325	3361MV	1221
325	3364OT	529
325	486	60
211	211	4291
211	322	NA
211	324	122948
211	325	1587
211	3361MV	NA
211	3364OT	NA
211	486	1716
324	211	1187
324	322	2527
324	324	21023
324	325	3758
324	3361MV	909
324	3364OT	724
324	486	452
3361MV	211	205
3361MV	322	31
3361MV	324	51
3361MV	325	15
3361MV	3361MV	44014
3361MV	3364OT	2030
3361MV	486	366
322	211	26
322	322	18611
322	324	383
322	325	2725
322	3361MV	386
322	3364OT	64
322	486	31
