dl n=5 format = edgelist1
labels embedded
data:
		
512	334	10
512	339	NA
512	512	7898
512	513	7341
512	721	3
334	334	51053
334	339	1217
334	512	19
334	513	4163
334	721	12
721	334	654
721	339	61
721	512	66
721	513	76
721	721	33
339	334	405
339	339	3044
339	512	9
339	513	119
339	721	189
513	334	751
513	339	128
513	512	87
513	513	23513
513	721	584
