dl n=6 format = edgelist1
labels embedded
data:
		
3364OT	326	NA
3364OT	333	489
3364OT	334	NA
3364OT	3364OT	37741
3364OT	513	1
3364OT	521CI	NA
326	326	15614
326	333	7891
326	334	7422
326	3364OT	3518
326	513	2930
326	521CI	201
334	326	1752
334	333	7650
334	334	175099
334	3364OT	10797
334	513	14581
334	521CI	570
513	326	683
513	333	1300
513	334	2174
513	3364OT	201
513	513	110175
513	521CI	9691
333	326	1924
333	333	32879
333	334	1299
333	3364OT	3916
333	513	682
333	521CI	19
521CI	326	1456
521CI	333	1044
521CI	334	1418
521CI	3364OT	177
521CI	513	2101
521CI	521CI	50563
