dl n=6 format = edgelist1
labels embedded
data:
		
3364OT	213	0
3364OT	333	NA
3364OT	335	43
3364OT	3364OT	16432
3364OT	339	16
3364OT	487OS	321
339	213	12
339	333	127
339	335	107
339	3364OT	69
339	339	2491
339	487OS	31
487OS	213	96
487OS	333	29
487OS	335	12
487OS	3364OT	26
487OS	339	13
487OS	487OS	4153
333	213	1032
333	333	6608
333	335	427
333	3364OT	1351
333	339	123
333	487OS	40
335	213	95
335	333	3886
335	335	3767
335	3364OT	612
335	339	197
335	487OS	17
213	213	NA
213	333	NA
213	335	NA
213	3364OT	NA
213	339	NA
213	487OS	NA
