dl n=6 format = edgelist1
labels embedded
data:
		
212	212	4696
212	326	57
212	333	177
212	334	111
212	335	205
212	3364OT	113
3364OT	212	4
3364OT	326	NA
3364OT	333	NA
3364OT	334	NA
3364OT	335	27
3364OT	3364OT	11764
335	212	245
335	326	77
335	333	4412
335	334	4004
335	335	4122
335	3364OT	649
333	212	1884
333	326	221
333	333	7256
333	334	499
333	335	479
333	3364OT	1652
326	212	501
326	326	2402
326	333	2189
326	334	6185
326	335	907
326	3364OT	878
334	212	7
334	326	58
334	333	814
334	334	36198
334	335	872
334	3364OT	5089
