dl n=8 format = edgelist1
labels embedded
data:
		
3364OT	326	NA
3364OT	333	44
3364OT	334	NA
3364OT	3364OT	25662
3364OT	513	0
3364OT	521CI	NA
3364OT	523	NA
3364OT	524	1
326	326	9573
326	333	5065
326	334	5041
326	3364OT	2687
326	513	861
326	521CI	113
326	523	26
326	524	140
334	326	623
334	333	3356
334	334	88568
334	3364OT	10699
334	513	4767
334	521CI	402
334	523	81
334	524	161
513	326	293
513	333	684
513	334	973
513	3364OT	202
513	513	27300
513	521CI	4828
513	523	2297
513	524	1491
521CI	326	958
521CI	333	1180
521CI	334	1567
521CI	3364OT	855
521CI	513	1200
521CI	521CI	21690
521CI	523	3764
521CI	524	2941
524	326	277
524	333	501
524	334	1379
524	3364OT	252
524	513	340
524	521CI	1652
524	523	1181
524	524	103607
523	326	112
523	333	692
523	334	381
523	3364OT	130
523	513	119
523	521CI	9108
523	523	12454
523	524	1983
333	326	1384
333	333	17883
333	334	1027
333	3364OT	2649
333	513	208
333	521CI	155
333	523	10
333	524	55
