dl n=6 format = edgelist1
labels embedded
data:
		
721	311FT	149
721	42	993
721	512	44
721	521CI	49
721	524	273
721	721	12
512	311FT	NA
512	42	246
512	512	5173
512	521CI	NA
512	524	0
512	721	2
311FT	311FT	49194
311FT	42	911
311FT	512	185
311FT	521CI	0
311FT	524	1
311FT	721	1756
524	311FT	359
524	42	313
524	512	12
524	521CI	1342
524	524	30694
524	721	41
521CI	311FT	1907
521CI	42	5192
521CI	512	133
521CI	521CI	3697
521CI	524	400
521CI	721	343
42	311FT	19127
42	42	5425
42	512	60
42	521CI	390
42	524	77
42	721	449
