dl n=7 format = edgelist1
labels embedded
data:
		
324	212	1644
324	322	2010
324	324	13936
324	326	499
324	331	1511
324	332	976
324	337	233
326	212	599
326	322	1688
326	324	395
326	326	3316
326	331	426
326	332	1454
326	337	1020
212	212	5781
212	322	665
212	324	417
212	326	66
212	331	9884
212	332	110
212	337	9
331	212	169
331	322	348
331	324	155
331	326	329
331	331	22739
331	332	28762
331	337	1459
322	212	39
322	322	23249
322	324	275
322	326	1791
322	331	178
322	332	963
322	337	529
332	212	1359
332	322	780
332	324	512
332	326	1229
332	331	2277
332	332	12885
332	337	1797
337	212	1
337	322	3
337	324	8
337	326	1
337	331	32
337	332	4
337	337	122
