dl n=8 format = edgelist1
labels embedded
data:
		
325	113FF	1423
325	212	1294
325	311FT	4321
325	325	74721
325	327	2915
325	333	947
325	334	1857
325	335	2091
333	113FF	80
333	212	2355
333	311FT	483
333	325	2043
333	327	356
333	333	12028
333	334	1144
333	335	557
212	113FF	2
212	212	7725
212	311FT	252
212	325	3856
212	327	4852
212	333	90
212	334	105
212	335	83
334	113FF	12
334	212	7
334	311FT	35
334	325	1298
334	327	29
334	333	914
334	334	63884
334	335	1873
311FT	113FF	198
311FT	212	1
311FT	311FT	64846
311FT	325	1452
311FT	327	21
311FT	333	5
311FT	334	3
311FT	335	1
335	113FF	30
335	212	242
335	311FT	220
335	325	330
335	327	126
335	333	6367
335	334	4639
335	335	4186
113FF	113FF	3935
113FF	212	77
113FF	311FT	2540
113FF	325	183
113FF	327	25
113FF	333	44
113FF	334	77
113FF	335	30
327	113FF	11
327	212	224
327	311FT	4168
327	325	1035
327	327	7205
327	333	755
327	334	1003
327	335	1263
