dl n=6 format = edgelist1
labels embedded
data:
		
486	322	11
486	325	703
486	333	4
486	3361MV	4
486	486	345
486	521CI	3
333	322	682
333	325	1630
333	333	11127
333	3361MV	6950
333	486	476
333	521CI	620
3361MV	322	39
3361MV	325	22
3361MV	333	3455
3361MV	3361MV	75301
3361MV	486	240
3361MV	521CI	33
322	322	28204
322	325	6335
322	333	693
322	3361MV	576
322	486	30
322	521CI	619
325	322	8082
325	325	70833
325	333	1132
325	3361MV	3653
325	486	65
325	521CI	33
521CI	322	604
521CI	325	2010
521CI	333	1199
521CI	3361MV	1449
521CI	486	1368
521CI	521CI	24492
