dl n=7 format = edgelist1
labels embedded
data:
		
325	113FF	1806
325	212	1698
325	311FT	5724
325	325	80680
325	327	2684
325	333	2334
325	334	4093
333	113FF	223
333	212	2324
333	311FT	835
333	325	2382
333	327	301
333	333	17883
333	334	1027
334	113FF	11
334	212	15
334	311FT	629
334	325	1598
334	327	324
334	333	3356
334	334	88568
311FT	113FF	321
311FT	212	NA
311FT	311FT	78579
311FT	325	1496
311FT	327	77
311FT	333	NA
311FT	334	NA
113FF	113FF	7392
113FF	212	83
113FF	311FT	3083
113FF	325	206
113FF	327	19
113FF	333	37
113FF	334	63
212	113FF	3
212	212	6329
212	311FT	600
212	325	3676
212	327	4836
212	333	74
212	334	91
327	113FF	28
327	212	218
327	311FT	3922
327	325	1044
327	327	8880
327	333	1159
327	334	1211
