dl n=7 format = edgelist1
labels embedded
data:
		
325	211	819
325	212	736
325	324	2748
325	325	40300
325	331	3563
325	333	863
325	486	61
211	211	4723
211	212	NA
211	324	108542
211	325	1692
211	331	24
211	333	NA
211	486	1490
486	211	661
486	212	16
486	324	15195
486	325	292
486	331	21
486	333	6
486	486	298
324	211	999
324	212	1582
324	324	17618
324	325	3311
324	331	1579
324	333	641
324	486	399
333	211	652
333	212	1665
333	324	47
333	325	845
333	331	1187
333	333	5708
333	486	466
331	211	112
331	212	153
331	324	243
331	325	1445
331	331	23546
331	333	10917
331	486	46
212	211	1
212	212	4595
212	324	399
212	325	2400
212	331	7996
212	333	144
212	486	18
