dl n=7 format = edgelist1
labels embedded
data:
		
325	211	663
325	212	681
325	324	2988
325	325	36098
325	331	3329
325	333	899
325	486	60
211	211	4291
211	212	NA
211	324	122948
211	325	1587
211	331	24
211	333	NA
211	486	1716
486	211	561
486	212	16
486	324	16030
486	325	266
486	331	20
486	333	7
486	486	332
324	211	1187
324	212	1654
324	324	21023
324	325	3758
324	331	1609
324	333	822
324	486	452
333	211	855
333	212	1884
333	324	59
333	325	1005
333	331	1285
333	333	7256
333	486	609
331	211	25
331	212	147
331	324	334
331	325	1865
331	331	23213
331	333	13165
331	486	53
212	211	1
212	212	4696
212	324	433
212	325	2498
212	331	7458
212	333	177
212	486	18
