dl n=6 format = edgelist1
labels embedded
data:
		
327	212	176
327	325	889
327	327	5259
327	331	615
327	3364OT	478
327	514	1
212	212	6967
212	325	3209
212	327	3757
212	331	11205
212	3364OT	140
212	514	1
325	212	947
325	325	41538
325	327	2513
325	331	4138
325	3364OT	688
325	514	16
3364OT	212	8
3364OT	325	NA
3364OT	327	NA
3364OT	331	5
3364OT	3364OT	20812
3364OT	514	NA
331	212	285
331	325	2148
331	327	422
331	331	31429
331	3364OT	5195
331	514	1
514	212	87
514	325	141
514	327	59
514	331	121
514	3364OT	195
514	514	1026
