dl n=7 format = edgelist1
labels embedded
data:
		
486	211	842
486	212	15
486	322	11
486	324	13436
486	333	5
486	3361MV	4
486	486	150
333	211	391
333	212	2383
333	322	606
333	324	42
333	333	10133
333	3361MV	6443
333	486	438
211	211	4590
211	212	NA
211	322	NA
211	324	73151
211	333	NA
211	3361MV	NA
211	486	1171
324	211	363
324	212	1169
324	322	894
324	324	6814
324	333	399
324	3361MV	514
324	486	269
3361MV	211	79
3361MV	212	489
3361MV	322	37
3361MV	324	29
3361MV	333	3380
3361MV	3361MV	73647
3361MV	486	218
322	211	9
322	212	67
322	322	24772
322	324	108
322	333	612
322	3361MV	504
322	486	30
212	211	1
212	212	4979
212	322	759
212	324	329
212	333	155
212	3361MV	762
212	486	24
