dl n=6 format = edgelist1
labels embedded
data:
		
3364OT	212	9
3364OT	327	NA
3364OT	334	NA
3364OT	3364OT	18570
3364OT	5415	NA
3364OT	561	NA
5415	212	37
5415	327	30
5415	334	108
5415	3364OT	39
5415	5415	679
5415	561	24
212	212	5781
212	327	3922
212	334	149
212	3364OT	85
212	5415	0
212	561	3
327	212	131
327	327	5273
327	334	654
327	3364OT	304
327	5415	1
327	561	7
334	212	10
334	327	35
334	334	53126
334	3364OT	5262
334	5415	583
334	561	1134
561	212	158
561	327	224
561	334	828
561	3364OT	435
561	5415	194
561	561	3427
