dl n=6 format = edgelist1
labels embedded
data:
		
339	322	1
339	325	508
339	327	524
339	334	27
339	335	1314
339	339	8700
334	322	677
334	325	3230
334	327	1085
334	334	175099
334	335	5603
334	339	2745
327	322	281
327	325	1711
327	327	17122
327	334	2059
327	335	3042
327	339	1166
335	322	358
335	325	868
335	327	132
335	334	9893
335	335	11953
335	339	837
325	322	9235
325	325	123730
325	327	4405
325	334	9495
325	335	3916
325	339	6604
322	322	43493
322	325	6495
322	327	2342
322	334	3384
322	335	1555
322	339	3072
