dl n=6 format = edgelist1
labels embedded
data:
		
325	211	814
325	212	933
325	324	4014
325	325	40134
325	331	3817
325	486	67
211	211	4591
211	212	NA
211	324	115756
211	325	2045
211	331	33
211	486	1679
486	211	566
486	212	19
486	324	14271
486	325	326
486	331	25
486	486	291
324	211	1104
324	212	2113
324	324	19631
324	325	4290
324	331	2215
324	486	776
331	211	626
331	212	367
331	324	224
331	325	2165
331	331	32879
331	486	55
212	211	29
212	212	6724
212	324	472
212	325	3173
212	331	11542
212	486	25
