dl n=7 format = edgelist1
labels embedded
data:
		
325	113FF	1778
325	212	1412
325	311FT	5203
325	325	77617
325	327	2755
325	333	1548
325	334	2849
333	113FF	153
333	212	2091
333	311FT	666
333	325	2276
333	327	335
333	333	14628
333	334	1047
334	113FF	14
334	212	10
334	311FT	341
334	325	1321
334	327	183
334	333	2100
334	334	77820
311FT	113FF	297
311FT	212	NA
311FT	311FT	73884
311FT	325	1474
311FT	327	50
311FT	333	NA
311FT	334	NA
113FF	113FF	6138
113FF	212	81
113FF	311FT	2791
113FF	325	175
113FF	327	25
113FF	333	45
113FF	334	78
212	113FF	3
212	212	6330
212	311FT	417
212	325	3575
212	327	4579
212	333	65
212	334	78
327	113FF	20
327	212	207
327	311FT	4052
327	325	1016
327	327	8074
327	333	902
327	334	1107
